ReviewId,PerOfCur,PerOfIncur
1,0.300000,1.000000
2,0.700000,0.700000
3,0.800000,0.600000
4,0.800000,0.700000
5,0.800000,0.900000
6,0.900000,0.800000
7,0.900000,0.600000
8,0.500000,0.500000
8205,0.600000,0.800000
8214,0.900000,0.600000
24,0.500000,0.500000
26,0.500000,0.700000
34,0.600000,0.500000
8229,0.100000,0.200000
8246,0.400000,0.600000
55,0.700000,0.300000
8256,0.500000,1.000000
8257,1.000000,0.700000
8259,0.600000,0.500000
8264,0.000000,0.100000
8276,0.400000,0.300000
8278,0.700000,0.800000
8279,0.500000,0.800000
8282,0.100000,0.500000
91,0.400000,0.900000
8286,0.800000,0.700000
97,0.700000,0.700000
8290,0.400000,0.700000
8291,0.000000,0.100000
100,0.500000,0.600000
105,0.500000,0.900000
107,1.000000,0.800000
8302,0.300000,0.200000
112,0.700000,0.600000
8311,0.600000,0.800000
141,0.400000,0.600000
8334,0.900000,0.700000
143,0.700000,0.600000
8336,0.600000,0.900000
9582,0.600000,0.800000
154,0.300000,0.800000
159,0.900000,0.800000
161,0.500000,0.200000
167,0.500000,0.700000
170,0.800000,0.700000
8367,0.500000,0.300000
177,0.800000,0.600000
191,0.900000,0.300000
8392,0.700000,0.900000
8399,1.000000,0.300000
209,0.700000,0.600000
215,0.400000,0.800000
216,0.500000,0.400000
8410,0.700000,0.600000
8411,0.900000,0.700000
220,0.700000,0.500000
8414,0.900000,0.500000
8415,0.000000,0.800000
233,1.000000,0.700000
236,0.600000,0.400000
8429,0.800000,0.500000
8430,0.200000,0.700000
8434,0.700000,0.400000
8443,0.500000,0.600000
8449,0.700000,0.300000
261,0.800000,0.600000
287,0.500000,0.900000
8491,0.800000,0.600000
8497,0.200000,0.300000
308,0.600000,0.800000
8507,0.600000,0.800000
8510,0.300000,0.300000
8513,0.500000,0.500000
8514,0.000000,0.700000
330,0.600000,0.800000
8247,0.200000,0.800000
333,0.500000,0.600000
335,0.400000,0.600000
8532,0.300000,0.600000
8533,0.200000,0.700000
357,0.500000,0.600000
360,0.700000,0.700000
8556,0.200000,0.500000
8574,0.900000,0.900000
8576,0.300000,0.800000
385,0.500000,0.600000
8578,0.000000,0.100000
395,0.900000,0.600000
8592,0.700000,0.500000
67,0.500000,0.700000
406,0.800000,0.800000
8601,0.900000,0.600000
425,0.200000,0.700000
428,0.100000,0.700000
8622,0.500000,0.500000
8623,0.000000,0.400000
8625,0.400000,0.700000
447,0.800000,1.000000
8642,0.500000,0.600000
452,0.500000,0.700000
8646,0.500000,0.600000
455,0.600000,0.700000
8648,0.000000,0.600000
8651,0.500000,0.600000
8655,0.000000,1.000000
475,0.300000,0.800000
8674,0.400000,0.500000
490,0.400000,0.600000
494,0.800000,0.600000
8688,0.600000,0.800000
8690,1.000000,0.000000
518,0.400000,0.500000
532,0.300000,0.700000
8731,0.800000,0.900000
8732,0.800000,0.900000
8735,0.600000,0.700000
8736,0.800000,0.700000
8743,1.000000,0.900000
8746,0.300000,0.400000
8754,0.600000,0.500000
8759,0.000000,0.400000
8766,0.500000,0.800000
8767,0.800000,0.700000
8768,0.700000,0.600000
8771,0.300000,0.400000
8776,0.900000,0.600000
8777,1.000000,0.900000
8784,1.000000,0.900000
8786,0.900000,0.600000
8787,0.600000,0.500000
8788,0.200000,0.700000
597,0.500000,0.500000
8797,0.500000,0.500000
8802,0.600000,0.600000
612,0.700000,0.800000
616,0.700000,0.500000
9660,0.500000,0.900000
8810,0.100000,0.400000
8824,0.900000,0.600000
8829,0.300000,0.800000
642,0.800000,0.700000
8839,0.900000,0.900000
8844,1.000000,0.700000
8846,0.300000,0.500000
8851,0.600000,0.900000
8859,0.300000,0.400000
668,0.300000,0.700000
8861,0.200000,0.800000
8863,1.000000,0.600000
8304,1.000000,0.500000
8866,0.400000,0.200000
679,0.500000,0.800000
681,0.100000,0.400000
8874,0.700000,0.500000
688,0.600000,0.900000
8882,0.500000,0.800000
693,0.300000,0.500000
694,0.800000,0.300000
8888,0.000000,0.200000
8889,0.000000,0.300000
8890,0.000000,0.500000
8895,1.000000,0.600000
704,0.900000,0.700000
706,0.700000,0.400000
708,0.900000,0.700000
8907,0.700000,0.900000
8911,1.000000,0.600000
8930,0.500000,0.600000
739,0.500000,0.700000
741,0.700000,0.300000
8935,0.700000,0.700000
748,0.600000,0.600000
752,0.600000,0.900000
8318,0.800000,0.900000
8965,0.400000,0.700000
8967,0.300000,0.600000
8968,0.200000,0.500000
8969,0.900000,0.500000
8971,0.600000,0.400000
782,0.700000,0.700000
8976,0.400000,0.700000
8978,1.000000,0.800000
8984,0.500000,0.600000
8996,0.500000,0.600000
9008,0.000000,0.200000
8328,0.700000,0.900000
838,0.400000,0.900000
841,1.000000,0.700000
9044,0.500000,0.500000
9046,0.600000,0.100000
860,0.800000,0.700000
144,0.800000,0.500000
866,0.800000,0.600000
9059,0.000000,0.300000
9061,0.800000,0.700000
9062,0.000000,0.600000
9064,0.800000,0.200000
9073,0.600000,0.600000
882,0.400000,0.300000
894,0.800000,0.300000
9091,0.500000,0.700000
9094,0.800000,0.700000
9095,0.500000,0.500000
904,0.900000,0.600000
9098,0.800000,0.800000
9100,0.000000,0.400000
9101,0.200000,0.400000
9107,0.100000,0.500000
917,0.400000,0.700000
9113,0.500000,0.600000
927,0.600000,0.400000
9124,0.400000,0.900000
9126,0.200000,0.800000
951,1.000000,0.800000
9717,0.700000,0.800000
964,0.600000,0.700000
9162,0.300000,0.600000
971,0.400000,0.200000
979,0.600000,0.500000
9172,0.100000,0.900000
9173,0.300000,0.200000
9180,0.500000,0.800000
994,0.300000,0.800000
995,0.900000,0.800000
9189,0.300000,0.300000
1004,0.500000,0.700000
1007,0.500000,0.500000
1009,0.900000,0.300000
9214,0.100000,0.700000
1030,0.700000,0.700000
9223,0.600000,0.300000
1032,0.700000,0.600000
9225,0.100000,0.700000
1038,0.100000,0.700000
9234,0.400000,0.700000
1049,0.200000,0.800000
1054,0.500000,0.700000
1063,0.400000,0.800000
9268,0.900000,0.400000
1082,0.800000,0.900000
9275,0.300000,0.900000
1091,0.900000,0.200000
1107,0.700000,0.300000
9311,0.000000,0.400000
9313,0.000000,1.000000
9317,0.400000,1.000000
9320,0.400000,0.400000
1131,0.300000,0.400000
1132,0.900000,0.600000
9331,0.100000,0.700000
9335,0.000000,0.200000
1155,1.000000,0.700000
9364,0.800000,1.000000
9366,0.000000,0.500000
1177,0.700000,0.700000
1179,0.400000,0.600000
9382,0.700000,0.500000
9383,0.700000,0.800000
1192,0.400000,0.500000
9387,0.800000,0.800000
1205,0.600000,0.500000
1207,0.800000,0.800000
1216,0.900000,0.900000
9409,0.300000,0.300000
9412,0.000000,0.200000
9420,1.000000,0.800000
9431,0.600000,0.500000
9432,0.700000,0.500000
1247,0.500000,0.700000
9449,0.200000,1.000000
9450,0.400000,0.700000
9453,0.300000,0.500000
9454,0.800000,0.700000
1267,0.100000,0.900000
1269,0.200000,0.600000
9485,0.500000,0.600000
9488,0.500000,0.500000
1297,0.200000,0.900000
9498,0.300000,0.800000
9499,0.800000,0.600000
9500,0.800000,0.800000
1313,0.700000,0.200000
8412,0.200000,0.200000
9515,0.700000,0.800000
9520,0.900000,0.800000
9533,0.000000,0.700000
9537,0.200000,0.800000
9542,0.500000,0.700000
9545,0.500000,0.800000
9548,0.900000,0.600000
9552,0.400000,0.800000
9555,1.000000,0.900000
9560,0.900000,0.400000
9562,0.600000,0.500000
9563,0.800000,0.500000
1375,0.800000,0.600000
9569,0.800000,0.700000
9576,0.600000,0.900000
9578,0.000000,0.300000
1390,0.500000,0.800000
1419,0.700000,0.600000
1420,0.600000,0.600000
9622,0.200000,0.800000
9624,0.200000,0.700000
1441,0.600000,0.800000
1446,0.400000,0.200000
9645,0.300000,0.200000
9647,0.100000,0.500000
1456,0.800000,0.500000
9656,0.300000,0.700000
9659,0.400000,0.700000
9664,0.500000,0.700000
1475,0.500000,0.300000
9681,1.000000,0.600000
9682,0.300000,0.200000
9683,1.000000,0.800000
9684,0.100000,0.300000
9692,0.400000,0.400000
1501,0.200000,0.700000
9695,0.000000,0.600000
9808,0.300000,0.500000
9708,0.300000,0.300000
9712,1.000000,0.400000
1525,0.300000,0.600000
9719,1.000000,0.800000
1528,1.000000,0.300000
1531,0.900000,0.800000
9731,0.000000,0.300000
9732,0.000000,0.600000
1549,0.200000,0.900000
9746,0.800000,0.800000
9751,0.000000,0.200000
1561,0.900000,0.500000
9768,1.000000,0.800000
9787,0.000000,0.600000
9788,0.000000,0.100000
1603,0.700000,0.800000
9796,0.800000,0.500000
1605,0.200000,0.800000
1607,0.200000,0.600000
9828,0.300000,0.500000
1627,1.000000,0.300000
1636,0.400000,0.600000
1653,0.500000,0.700000
9846,0.000000,0.600000
9847,0.900000,0.800000
1669,0.500000,0.600000
1678,0.900000,0.500000
1689,0.600000,0.700000
9884,0.100000,0.500000
1699,0.400000,0.200000
9897,0.000000,0.400000
1706,0.500000,0.500000
1711,0.500000,0.900000
9910,0.600000,0.700000
1726,0.800000,0.500000
9845,0.000000,0.600000
1731,0.800000,0.900000
9925,0.000000,0.700000
1736,0.900000,0.600000
9954,1.000000,0.700000
1773,0.700000,0.600000
9970,0.200000,0.200000
1779,0.800000,1.000000
1782,0.400000,0.100000
9977,0.800000,0.900000
9978,0.300000,0.600000
9981,0.600000,0.500000
9983,0.200000,0.600000
1794,0.700000,0.500000
1795,0.400000,0.200000
1801,0.400000,0.700000
1803,1.000000,0.900000
1812,0.900000,0.700000
10007,0.200000,0.800000
1816,0.800000,0.700000
10014,0.500000,0.700000
1839,0.400000,0.300000
10035,0.200000,0.800000
1849,0.700000,0.800000
1865,0.000000,0.800000
10063,0.600000,0.800000
1872,0.200000,0.800000
1882,1.000000,0.100000
10094,0.200000,0.700000
1904,0.600000,0.900000
10099,0.400000,0.200000
1916,0.700000,0.800000
1918,0.900000,0.900000
10112,0.400000,0.600000
1921,0.300000,0.600000
10116,0.000000,0.500000
10117,0.000000,0.600000
1926,0.800000,0.600000
321,0.700000,0.600000
10121,0.300000,0.200000
10126,0.500000,0.700000
1935,1.000000,0.600000
1941,0.500000,0.800000
10145,0.600000,0.400000
1955,1.000000,0.800000
1970,0.500000,0.700000
10165,0.000000,0.400000
1980,0.800000,0.400000
1981,0.900000,0.700000
10179,0.300000,0.400000
1991,0.300000,0.700000
10184,0.100000,0.600000
1994,0.600000,0.800000
1998,1.000000,0.700000
10193,0.500000,0.500000
10200,0.400000,0.400000
2011,0.200000,0.600000
10212,0.100000,0.600000
10215,0.600000,0.700000
2031,0.500000,0.700000
2033,0.800000,0.900000
2035,0.900000,0.700000
2043,0.600000,0.800000
10239,0.700000,0.900000
10240,0.600000,0.600000
10242,0.800000,0.600000
10247,0.900000,0.600000
2062,0.600000,0.600000
2064,0.200000,0.500000
2069,0.300000,0.500000
10269,0.200000,0.800000
10272,0.000000,0.300000
10275,0.200000,0.400000
10277,0.800000,0.900000
10295,0.800000,0.800000
2109,0.400000,0.300000
10310,0.100000,0.300000
2140,0.400000,0.300000
10342,0.700000,0.900000
10343,0.600000,0.400000
2166,0.800000,0.100000
2170,0.200000,0.700000
9347,0.400000,0.400000
10373,0.900000,0.500000
10374,0.100000,0.700000
10378,0.100000,0.700000
10379,0.200000,0.500000
10380,0.200000,0.700000
10385,1.000000,0.400000
10387,0.400000,0.600000
10391,0.700000,0.700000
2218,0.200000,0.700000
2226,0.300000,0.700000
2230,0.800000,0.600000
2238,0.100000,0.500000
2243,0.100000,0.400000
2265,0.800000,0.700000
2271,0.600000,0.500000
10475,0.700000,0.500000
2284,0.500000,0.700000
10486,0.200000,0.100000
10489,0.000000,0.200000
2325,0.700000,0.800000
10519,0.600000,0.300000
10521,0.200000,0.500000
10527,0.800000,0.500000
2340,0.900000,0.600000
2350,0.400000,0.400000
8587,0.700000,0.700000
2401,0.300000,0.400000
10607,0.300000,0.700000
2417,0.400000,0.400000
10612,0.100000,0.300000
10626,0.700000,0.600000
2448,0.900000,0.900000
10646,0.600000,0.700000
2455,0.800000,0.400000
2458,0.700000,1.000000
2463,0.900000,0.900000
2468,1.000000,0.300000
2472,0.400000,0.600000
2475,0.800000,0.600000
10670,0.100000,0.800000
2481,0.300000,0.800000
10676,0.600000,0.700000
2487,0.400000,0.700000
2506,0.500000,0.600000
2535,0.700000,0.600000
2537,0.500000,0.600000
8617,0.800000,0.700000
2556,0.100000,0.300000
2559,0.700000,0.700000
10765,0.400000,0.200000
2583,0.300000,0.600000
2589,0.400000,0.700000
2592,0.500000,0.800000
2622,0.800000,0.600000
2649,0.400000,0.700000
2654,0.500000,0.600000
10847,0.600000,0.500000
2667,1.000000,0.900000
8641,1.000000,0.600000
2696,0.700000,0.800000
2697,0.700000,0.500000
2711,0.300000,0.400000
2733,0.800000,0.700000
2750,0.400000,0.700000
2759,0.200000,0.700000
10018,0.500000,0.200000
10959,0.200000,0.900000
2799,0.900000,0.700000
2807,0.100000,0.700000
2813,0.200000,0.500000
11011,0.400000,0.800000
2828,0.600000,0.500000
2834,0.400000,0.700000
2835,0.700000,0.300000
9369,0.500000,0.700000
2860,0.700000,0.100000
2861,0.300000,0.200000
2874,0.800000,0.600000
2888,0.000000,0.200000
2889,0.500000,0.900000
11082,0.300000,0.900000
11090,0.700000,0.700000
2903,0.400000,0.700000
2934,0.600000,0.700000
2961,0.400000,0.300000
2967,0.800000,0.200000
2976,0.600000,0.500000
3009,0.900000,0.700000
3012,0.900000,0.700000
3031,0.900000,0.700000
11234,0.500000,0.400000
3068,0.000000,0.800000
3098,0.700000,0.400000
3099,0.300000,0.700000
3108,0.700000,0.700000
3153,0.700000,0.800000
8289,0.200000,0.600000
3185,0.500000,0.500000
3189,0.700000,0.200000
3191,0.000000,0.300000
3217,0.500000,1.000000
543,0.800000,0.400000
11020,0.400000,0.400000
8749,0.900000,0.800000
1925,0.800000,0.400000
10119,0.000000,0.200000
10127,0.300000,0.900000
595,0.500000,0.700000
8789,0.500000,0.500000
9397,0.300000,0.900000
8865,0.700000,0.000000
8873,1.000000,0.600000
4108,1.000000,0.900000
4120,0.400000,0.800000
4146,0.400000,0.900000
4149,1.000000,0.100000
4159,0.400000,0.400000
4162,0.800000,0.300000
4190,0.100000,0.700000
1228,0.800000,0.300000
4240,1.000000,0.600000
4257,0.600000,0.700000
4264,0.500000,0.700000
4277,0.600000,0.200000
4299,0.300000,0.000000
4302,0.500000,0.800000
4325,0.800000,0.800000
4328,0.700000,0.600000
4330,0.000000,0.800000
4340,1.000000,0.200000
4355,0.400000,0.700000
4375,0.500000,0.900000
4381,0.700000,0.400000
4393,0.800000,0.600000
4395,0.100000,0.800000
4418,1.000000,0.800000
4419,0.100000,0.100000
4428,0.000000,0.400000
8932,0.000000,0.500000
4458,0.700000,0.500000
4460,0.700000,0.600000
4463,0.900000,0.500000
4468,1.000000,0.500000
4473,0.700000,0.300000
4491,0.400000,0.700000
8944,0.700000,0.900000
4523,0.200000,0.700000
4571,0.600000,0.700000
4573,0.500000,0.400000
4598,0.700000,0.900000
4601,0.600000,0.400000
4625,0.700000,0.900000
4656,1.000000,0.800000
4690,0.100000,0.600000
4694,0.800000,0.900000
4715,0.400000,0.700000
4720,0.000000,0.200000
4726,0.500000,0.400000
4727,0.100000,0.500000
10254,0.700000,0.700000
4912,0.600000,0.800000
4919,0.400000,0.700000
4922,0.500000,0.700000
4954,0.500000,0.500000
4978,0.500000,0.600000
4987,0.200000,0.500000
4992,0.400000,0.600000
5044,0.700000,0.200000
5046,0.600000,0.700000
6715,0.900000,0.100000
9037,0.900000,0.700000
5127,0.200000,0.900000
5170,0.900000,0.700000
5174,0.600000,0.700000
5189,0.100000,0.400000
5196,0.300000,0.800000
5201,0.400000,0.400000
5208,0.200000,0.600000
5209,0.000000,0.900000
5215,0.000000,0.500000
5217,0.500000,0.400000
5230,0.700000,0.500000
5241,0.900000,0.500000
5258,0.000000,0.200000
5263,0.500000,0.700000
10435,0.900000,0.600000
5280,0.500000,0.500000
5292,0.100000,0.700000
5293,0.900000,0.500000
5313,0.600000,0.300000
5314,0.300000,0.900000
5319,0.200000,0.900000
5347,0.700000,0.600000
5367,0.100000,0.300000
5371,0.100000,0.500000
5387,0.800000,0.200000
5390,0.900000,0.800000
5441,0.600000,0.700000
5511,0.500000,0.500000
5538,0.600000,0.500000
5545,0.500000,0.200000
5558,0.600000,0.700000
5572,0.000000,0.600000
5586,0.500000,0.300000
9461,0.800000,0.000000
5619,0.500000,0.500000
5623,0.700000,0.700000
5638,0.500000,0.800000
5639,0.400000,0.300000
9133,0.200000,0.500000
5652,1.000000,0.300000
5660,0.200000,0.500000
5678,0.500000,0.300000
5689,0.100000,0.800000
5707,0.600000,0.900000
5727,0.400000,0.500000
5733,0.500000,0.600000
5754,0.800000,0.300000
5756,0.700000,0.600000
5803,0.700000,0.700000
5805,0.000000,0.800000
970,0.800000,0.800000
9171,0.400000,0.800000
5909,0.700000,0.700000
5948,0.700000,0.600000
5950,0.900000,0.800000
5956,0.800000,0.800000
5971,0.800000,0.400000
5983,0.000000,0.400000
9190,0.400000,0.300000
5997,0.400000,0.800000
6039,0.400000,0.500000
6043,0.200000,0.800000
6062,0.000000,0.800000
8931,0.700000,0.200000
6072,0.900000,0.600000
6094,0.100000,0.400000
6116,0.800000,0.700000
6124,0.400000,0.800000
6153,0.800000,0.500000
6156,0.300000,0.600000
9218,0.100000,0.300000
6159,0.700000,0.700000
6162,0.600000,0.300000
6167,1.000000,0.600000
6172,1.000000,0.800000
6198,0.400000,0.300000
6223,1.000000,1.000000
6230,0.300000,0.800000
6268,0.200000,0.800000
6274,0.100000,0.900000
6282,0.600000,0.600000
6287,0.100000,0.700000
6316,0.700000,0.600000
6348,0.100000,0.500000
6369,0.700000,0.600000
6413,0.500000,0.400000
6427,1.000000,0.700000
6447,0.800000,0.400000
6449,0.700000,0.800000
6450,0.800000,0.700000
6456,0.900000,0.600000
6460,0.300000,0.500000
6461,0.100000,0.200000
6470,0.000000,0.400000
6473,0.400000,0.700000
6476,0.400000,0.700000
6482,0.500000,0.700000
6484,0.600000,0.700000
6486,0.600000,0.800000
6488,0.400000,0.700000
6489,0.100000,0.000000
6491,0.500000,0.300000
6493,0.700000,0.700000
6495,0.300000,0.100000
6498,0.200000,0.300000
6499,0.700000,0.400000
6506,0.400000,0.200000
6507,0.200000,0.800000
6509,1.000000,0.500000
6522,0.100000,0.800000
6524,0.100000,0.400000
6526,1.000000,0.600000
6530,0.700000,0.300000
6534,0.200000,0.200000
6537,0.500000,0.800000
6539,0.900000,0.900000
6547,0.300000,0.800000
6549,0.100000,0.500000
6554,0.500000,0.500000
6558,0.200000,0.400000
6577,0.800000,0.500000
6578,0.600000,0.700000
6580,0.700000,0.800000
6589,0.500000,0.700000
6592,0.100000,0.100000
6593,0.300000,0.800000
6598,0.000000,0.700000
6601,0.700000,0.500000
6604,1.000000,0.900000
6609,0.600000,0.800000
6610,0.200000,0.700000
6618,0.900000,0.600000
6623,0.600000,0.800000
6624,0.100000,0.400000
6633,0.600000,0.700000
6641,1.000000,0.700000
6648,0.900000,0.900000
6650,0.500000,0.600000
6659,1.000000,0.600000
6661,0.500000,0.900000
6670,0.300000,0.400000
6676,1.000000,0.600000
6681,0.200000,0.800000
6683,0.200000,0.600000
6685,0.500000,0.800000
6687,1.000000,0.900000
6694,0.300000,0.200000
6695,0.900000,0.300000
6698,0.000000,0.700000
6714,0.800000,0.500000
1119,0.400000,0.600000
6719,0.100000,0.800000
6722,0.200000,0.800000
6732,0.000000,0.200000
6735,0.700000,0.800000
6737,1.000000,0.900000
6738,0.600000,0.200000
6743,0.200000,0.200000
8408,0.500000,0.400000
6754,0.500000,0.600000
6758,0.800000,0.600000
6763,0.200000,0.200000
6771,0.200000,0.500000
6772,0.700000,0.600000
6773,0.500000,0.600000
6783,0.100000,0.900000
6785,0.200000,0.200000
6786,0.500000,0.900000
6788,0.000000,0.600000
6794,0.800000,0.700000
6796,0.200000,0.700000
6800,0.400000,0.800000
6802,0.300000,0.800000
6807,1.000000,0.700000
6820,0.900000,0.100000
6823,0.800000,0.500000
6828,0.300000,0.800000
6829,0.700000,0.800000
6835,0.700000,0.800000
6838,0.100000,0.700000
10697,0.400000,0.200000
6843,0.700000,0.800000
6847,0.800000,0.800000
6849,0.300000,0.800000
6850,0.100000,0.700000
6854,1.000000,0.900000
6859,0.200000,0.700000
6873,0.700000,0.500000
6876,0.200000,0.700000
6880,0.900000,0.900000
6889,0.900000,0.700000
6890,0.200000,0.900000
6896,0.400000,0.600000
6904,0.100000,0.500000
6914,1.000000,0.900000
6917,1.000000,0.700000
6923,0.800000,0.800000
6924,0.300000,0.800000
6926,0.300000,0.400000
6928,1.000000,0.500000
6929,0.400000,0.200000
6938,0.100000,0.300000
6939,0.900000,0.900000
6943,0.200000,0.600000
6944,0.100000,0.600000
6945,0.200000,1.000000
6948,0.800000,0.500000
6949,0.700000,0.800000
6966,0.100000,0.700000
6967,0.700000,0.900000
6968,0.700000,0.600000
6969,0.200000,0.800000
6971,0.200000,0.700000
6981,0.200000,0.600000
6983,0.500000,0.700000
6984,1.000000,0.600000
6987,0.700000,0.500000
6994,0.400000,0.300000
6995,0.100000,1.000000
7002,0.000000,0.100000
7007,0.900000,0.800000
7010,0.300000,0.800000
7012,0.700000,0.600000
7017,0.600000,0.600000
7018,0.700000,0.500000
7020,0.300000,0.400000
7028,0.800000,0.500000
7040,1.000000,0.900000
7044,0.500000,0.300000
7051,0.300000,0.700000
7052,1.000000,0.600000
7060,0.300000,1.000000
7063,0.000000,0.600000
7069,0.300000,0.600000
7075,0.800000,0.800000
7090,0.500000,0.600000
7092,0.900000,0.400000
7109,0.800000,0.900000
7118,0.500000,0.600000
7125,0.700000,0.400000
7126,0.300000,0.800000
7128,0.200000,0.700000
7132,0.800000,0.600000
7133,0.200000,0.600000
7135,0.500000,0.800000
7136,0.800000,0.800000
7138,0.500000,0.400000
7139,0.100000,0.700000
7141,0.700000,0.700000
7144,0.900000,0.700000
7148,0.300000,1.000000
7155,0.400000,0.700000
7156,0.700000,0.700000
7166,0.200000,0.700000
7170,1.000000,0.700000
7179,0.200000,0.900000
7183,0.800000,0.500000
7186,0.100000,0.900000
7191,0.100000,0.900000
7193,0.400000,0.600000
7195,0.800000,1.000000
7198,0.700000,0.500000
7203,1.000000,0.600000
7213,0.600000,0.900000
7217,0.700000,0.600000
7220,0.200000,0.300000
7225,0.800000,0.700000
7226,0.100000,0.700000
7227,0.400000,0.700000
7230,0.200000,0.800000
7233,0.600000,0.800000
7236,0.800000,0.600000
7237,0.800000,0.800000
7238,1.000000,1.000000
7239,0.600000,0.200000
7244,0.700000,0.400000
7249,0.300000,0.900000
7253,0.600000,0.700000
7256,0.400000,0.800000
7261,0.600000,0.200000
7262,0.900000,0.800000
7264,0.800000,0.700000
7266,0.400000,0.100000
7282,0.500000,0.600000
7291,0.500000,0.100000
7293,0.200000,0.700000
7302,0.300000,0.300000
7317,0.700000,0.800000
7336,0.500000,0.800000
7349,0.800000,0.400000
7350,0.400000,0.700000
7353,0.200000,0.800000
7354,0.900000,0.900000
7355,0.800000,0.800000
7360,0.700000,0.900000
7365,1.000000,1.000000
7366,0.700000,0.600000
7368,1.000000,0.300000
7369,0.700000,0.700000
7385,0.700000,0.700000
7386,0.900000,1.000000
7389,1.000000,0.800000
7395,0.400000,0.700000
7399,0.900000,0.600000
7400,0.000000,0.200000
7409,0.400000,0.300000
7411,0.400000,0.900000
7419,0.600000,0.800000
7420,1.000000,0.700000
7423,0.600000,0.900000
7425,0.100000,0.000000
7428,0.700000,0.900000
7433,0.900000,0.900000
7441,0.500000,0.000000
7448,0.000000,0.800000
7450,0.200000,0.800000
7461,0.000000,0.300000
7462,0.800000,0.700000
7468,0.900000,0.900000
7471,0.600000,0.800000
7472,0.200000,0.700000
7473,0.500000,0.200000
7476,0.100000,0.300000
7478,0.800000,0.800000
7479,0.300000,0.400000
7491,0.800000,0.800000
7494,0.400000,0.600000
7496,0.600000,0.700000
7498,1.000000,0.800000
7500,0.400000,0.200000
7509,0.600000,0.700000
7523,0.600000,0.700000
7531,0.300000,0.000000
7534,0.900000,0.700000
7535,0.100000,0.500000
7536,1.000000,0.600000
7537,0.600000,0.400000
7543,0.800000,0.600000
7549,0.500000,0.900000
7553,0.300000,0.800000
7554,0.400000,0.500000
7555,0.900000,0.700000
7562,0.000000,0.600000
7572,0.700000,0.300000
7575,0.100000,0.300000
7579,0.000000,0.500000
7582,0.700000,0.700000
7585,0.000000,0.800000
7589,0.300000,0.700000
7591,1.000000,0.700000
7593,0.600000,0.900000
7600,0.900000,0.800000
7602,0.900000,0.400000
7604,0.400000,1.000000
7613,0.800000,0.500000
7614,0.900000,0.600000
7615,0.800000,0.800000
7617,0.000000,0.100000
7625,0.900000,0.800000
7629,0.300000,0.900000
7631,0.900000,0.900000
7641,0.400000,0.500000
7664,0.400000,0.600000
7677,0.700000,0.600000
7680,0.700000,0.500000
7687,0.100000,0.700000
7689,0.900000,1.000000
7693,0.000000,0.100000
7699,0.800000,0.900000
7700,1.000000,0.600000
7701,0.500000,0.700000
7703,0.600000,0.400000
7708,0.900000,0.700000
7710,0.500000,0.800000
7711,0.900000,0.700000
7714,0.100000,0.700000
7715,0.000000,0.500000
7718,0.500000,0.500000
7725,1.000000,0.500000
7727,0.200000,0.200000
7729,1.000000,0.500000
7730,0.400000,0.600000
7732,0.800000,0.700000
7737,0.600000,0.900000
7745,0.300000,0.400000
7746,1.000000,0.400000
7753,1.000000,0.800000
7758,0.900000,0.200000
7761,0.500000,0.700000
7763,0.000000,0.500000
7764,0.000000,0.900000
7769,0.600000,0.700000
7770,0.900000,0.200000
7774,0.400000,0.500000
7780,0.300000,0.500000
7781,0.200000,0.400000
7787,0.800000,0.600000
7789,0.700000,0.800000
7794,0.500000,0.500000
7802,0.800000,0.500000
7803,1.000000,0.800000
7806,1.000000,0.900000
7808,0.400000,0.700000
7812,0.100000,0.800000
7817,0.800000,0.800000
7821,0.400000,0.500000
7822,0.800000,0.800000
7823,1.000000,0.400000
7838,0.300000,0.300000
7847,0.100000,0.700000
7850,0.500000,0.600000
7858,0.500000,0.500000
7872,0.500000,0.700000
7882,0.000000,0.800000
7884,0.500000,0.500000
7890,0.300000,0.100000
7896,0.300000,0.800000
7899,0.800000,1.000000
7923,0.900000,0.500000
7924,0.500000,0.900000
7930,0.900000,0.800000
7939,0.100000,0.800000
7946,0.000000,0.100000
7948,0.200000,0.400000
7958,0.900000,0.800000
7962,0.100000,0.800000
7973,0.700000,0.800000
7976,0.600000,0.800000
7987,0.100000,1.000000
7992,0.400000,0.300000
7996,1.000000,0.600000
8001,0.700000,0.900000
8003,0.400000,0.300000
8004,0.500000,0.700000
8005,0.800000,0.700000
8021,0.600000,0.500000
8027,0.800000,0.200000
8040,0.500000,0.800000
8041,0.700000,0.600000
8042,0.600000,0.700000
8047,0.600000,0.800000
8052,0.700000,0.900000
8053,0.600000,0.200000
8072,0.500000,0.800000
8083,0.400000,0.600000
8084,0.200000,0.600000
8085,0.300000,0.700000
8090,0.300000,0.900000
8091,0.300000,0.700000
8092,0.500000,0.600000
8094,0.700000,0.900000
8099,0.800000,0.800000
8106,0.300000,0.800000
8119,0.900000,0.800000
8122,0.000000,0.500000
8124,0.300000,0.300000
8125,0.000000,0.600000
8127,0.300000,0.600000
8130,0.500000,0.600000
8136,1.000000,0.300000
8151,0.200000,0.100000
8153,0.800000,0.100000
8158,0.500000,0.400000
8163,0.900000,0.400000
8174,0.600000,0.500000
8176,0.300000,0.300000
8188,0.200000,0.700000
8190,1.000000,0.500000
